Customer Name,Complaint Reference,Date Raised,Date Resolved,Complaint Category,Complaint Detail,Resolution,Channel,Region,Handling Team,Contract Value
Customer R2,CMP-10043,06/14/2025,06/18/2025,Delivery,Late delivery,Upheld,Phone,West,Team Bravo,13936
Customer S2,CMP-10044,09/29/2025,11/20/2025,Billing,Incorrect invoice amount,Partially Upheld,Phone,North,Team Bravo,8791
Customer T2,CMP-10045,07/13/2025,07/17/2025,Delivery,Late delivery,Upheld,Web Form,West,Team Bravo,24067
Customer U2,CMP-10046,03/30/2025,04/11/2025,Staff Conduct,Promise not honoured,Upheld,Branch,West,Team Charlie,20076
Customer V2,CMP-10047,03/23/2025,03/31/2025,Delivery,Damaged in transit,Upheld,Phone,East,Team Bravo,24508
Customer W2,CMP-10048,11/12/2025,01/03/2026,Billing,Incorrect invoice amount,Partially Upheld,Web Form,West,Team Bravo,16643
Customer X2,CMP-10049,03/12/2025,03/17/2025,Staff Conduct,Promise not honoured,Partially Upheld,Phone,South,Team Alpha,11701
Customer Y2,CMP-10050,05/11/2025,07/03/2025,Billing,Unexplained fee increase,Upheld,Email,North,Team Alpha,14432
Customer Z2,CMP-10051,10/12/2025,10/15/2025,Staff Conduct,Unhelpful response,Partially Upheld,Web Form,North,Team Charlie,6383
Customer A3,CMP-10052,07/01/2025,08/18/2025,Billing,Incorrect invoice amount,Not Upheld,Email,North,Team Charlie,4986
Customer B3,CMP-10053,07/30/2025,08/05/2025,Delivery,Late delivery,Upheld,Email,East,Team Bravo,8297
Customer C3,CMP-10054,10/07/2025,10/18/2025,Product Quality,Failed within warranty,Partially Upheld,Branch,North,Team Alpha,4907
Customer D3,CMP-10055,06/19/2025,06/26/2025,Staff Conduct,Promise not honoured,Partially Upheld,Email,North,Team Alpha,25004
Customer E3,CMP-10056,03/15/2025,03/26/2025,Staff Conduct,Rude interaction,Upheld,Email,West,Team Bravo,18378
Customer F3,CMP-10057,06/30/2025,07/08/2025,Staff Conduct,Rude interaction,Not Upheld,Email,South,Team Alpha,16183
Customer G3,CMP-10058,04/18/2025,06/04/2025,Billing,Duplicate charge,Not Upheld,Email,North,Team Charlie,20476
Customer H3,CMP-10059,09/04/2025,10/03/2025,Billing,Unexplained fee increase,Partially Upheld,Phone,North,Team Bravo,14974
Customer I3,CMP-10060,09/07/2025,09/15/2025,Staff Conduct,Promise not honoured,Partially Upheld,Email,West,Team Alpha,6229
Customer J3,CMP-10061,05/02/2025,05/11/2025,Product Quality,Failed within warranty,Upheld,Web Form,South,Team Alpha,4669
Customer K3,CMP-10062,05/29/2025,06/05/2025,Product Quality,Failed within warranty,Upheld,Web Form,North,Team Bravo,18965
Customer L3,CMP-10063,09/02/2025,10/12/2025,Billing,Duplicate charge,Not Upheld,Branch,North,Team Bravo,12467
Customer M3,CMP-10064,05/04/2025,05/17/2025,Product Quality,Faulty on arrival,Upheld,Branch,North,Team Charlie,8298
Customer N3,CMP-10065,10/07/2025,10/13/2025,Delivery,Damaged in transit,Upheld,Email,North,Team Bravo,9626
Customer O3,CMP-10066,10/14/2025,10/24/2025,Product Quality,Failed within warranty,Partially Upheld,Phone,East,Team Charlie,20470
Customer P3,CMP-10067,11/26/2025,11/30/2025,Product Quality,Faulty on arrival,Upheld,Branch,North,Team Bravo,15929
Fabrikam Holdings,CMP-10068,06/21/2025,06/29/2025,Staff Conduct,Unhelpful response,Not Upheld,Branch,East,Team Bravo,272087
Customer R3,CMP-10069,08/15/2025,08/24/2025,Staff Conduct,Unhelpful response,Partially Upheld,Branch,East,Team Bravo,23924
Customer S3,CMP-10070,08/26/2025,09/30/2025,Billing,Duplicate charge,Upheld,Phone,North,Team Charlie,8789
Customer T3,CMP-10071,02/26/2025,03/05/2025,Staff Conduct,Promise not honoured,Not Upheld,Phone,East,Team Bravo,22111
Customer U3,CMP-10072,08/20/2025,08/27/2025,Product Quality,Below advertised spec,Partially Upheld,Phone,East,Team Charlie,16763
Customer V3,CMP-10073,09/26/2025,10/04/2025,Product Quality,Faulty on arrival,Upheld,Email,East,Team Charlie,5813
Customer W3,CMP-10074,09/13/2025,09/25/2025,Product Quality,Below advertised spec,Upheld,Web Form,North,Team Bravo,10109
Customer X3,CMP-10075,02/08/2025,03/10/2025,Billing,Incorrect invoice amount,Upheld,Branch,North,Team Bravo,22480
Customer Y3,CMP-10076,02/02/2025,03/27/2025,Billing,Unexplained fee increase,Partially Upheld,Phone,North,Team Alpha,5003
Customer Z3,CMP-10077,03/31/2025,05/29/2025,Billing,Unexplained fee increase,Partially Upheld,Web Form,South,Team Alpha,25066
Customer A4,CMP-10078,08/24/2025,08/26/2025,Product Quality,Below advertised spec,Upheld,Web Form,East,Team Bravo,6573
Customer B4,CMP-10079,11/28/2025,12/03/2025,Staff Conduct,Unhelpful response,Partially Upheld,Email,East,Team Alpha,6562
Fabrikam Holdings,CMP-10080,01/06/2025,01/17/2025,Delivery,Item never arrived,Not Upheld,Web Form,West,Team Charlie,236812
Northwind Traders,CMP-10081,11/07/2025,12/19/2025,Billing,Duplicate charge,Upheld,Web Form,North,Team Alpha,199065
Customer E4,CMP-10082,08/23/2025,09/02/2025,Delivery,Late delivery,Not Upheld,Phone,West,Team Bravo,16877
Customer F4,CMP-10083,03/11/2025,03/13/2025,Delivery,Damaged in transit,Upheld,Email,North,Team Charlie,18024
Customer G4,CMP-10084,08/27/2025,10/11/2025,Billing,Unexplained fee increase,Partially Upheld,Email,North,Team Alpha,6455
Customer H4,CMP-10085,04/22/2025,04/26/2025,Product Quality,Faulty on arrival,Partially Upheld,Web Form,East,Team Alpha,15996
Customer I4,CMP-10086,07/19/2025,07/24/2025,Delivery,Late delivery,Upheld,Web Form,South,Team Charlie,12511
Customer J4,CMP-10087,07/17/2025,07/24/2025,Staff Conduct,Rude interaction,Upheld,Phone,East,Team Bravo,16955
Customer K4,CMP-10088,05/17/2025,06/21/2025,Billing,Duplicate charge,Not Upheld,Branch,North,Team Bravo,6779
Customer L4,CMP-10089,03/16/2025,03/25/2025,Staff Conduct,Rude interaction,Upheld,Web Form,North,Team Bravo,17248
